ds,y
1990-01,172
1990-02,150.6
1990-03,163.3
1990-04,153.7
1990-05,152.9
1990-06,135.5
1990-07,148.5
1990-08,148.4
1990-09,133.6
1990-10,194.1
1990-11,208.6
1990-12,197.3
1991-01,164.4
1991-02,148.1
1991-03,152
1991-04,144.1
1991-05,155
1991-06,124.5
1991-07,153
1991-08,146
1991-09,138
1991-10,190
1991-11,192
1991-12,192
1992-01,147
1992-02,133
1992-03,163
1992-04,150
1992-05,129
1992-06,131
1992-07,145
1992-08,137
1992-09,138
1992-10,168
1992-11,176
1992-12,188
1993-01,139
1993-02,143
1993-03,150
1993-04,154
1993-05,137
1993-06,129
1993-07,128
1993-08,140
1993-09,143
1993-10,151
1993-11,177
1993-12,184
1994-01,151
1994-02,134
1994-03,164
1994-04,126
1994-05,131
1994-06,125
1994-07,127
1994-08,143
1994-09,143
1994-10,160
1994-11,190
1994-12,182
1995-01,138